iso3c,gini,inequality
AGO,51.26,high
ALB,29.42,low
ARE,26.4,low
ARG,42.35,high
ARM,27.15,low
AUS,33.83,moderate
AUT,31.2,moderate
AZE,26.55,low
BDI,37.46,moderate
BEL,26.82,low
BEN,34.4,moderate
BFA,37.39,moderate
BGD,30.93,moderate
BGR,39.47,moderate
BIH,33.03,moderate
BLR,24.38,low
BLZ,39.95,moderate
BOL,42.05,high
BRA,51.64,high
BRB,34.07,moderate
BTN,28.46,low
BWA,54.91,high
CAF,43.03,high
CAN,31.11,moderate
CHE,33.8,moderate
CHL,43.04,high
CHN,36.02,moderate
CIV,35.28,moderate
CMR,42.18,high
COD,44.67,high
COG,48.94,high
COL,53.88,high
COM,45.33,high
CPV,42.38,high
CRI,45.83,high
CYP,31.84,moderate
CZE,25.71,low
DEU,32.43,moderate
DJI,41.59,high
DNK,29.92,low
DOM,38.97,moderate
DZA,27.62,low
ECU,45.2,high
EGY,28.48,low
ESP,33.41,moderate
EST,30.71,moderate
ETH,31.14,moderate
FIN,27.4,low
FJI,30.71,moderate
FRA,31.81,moderate
FSM,40.05,high
GAB,38.02,moderate
GBR,32.41,moderate
GEO,33.85,moderate
GHA,43.51,high
GIN,29.59,low
GMB,38.76,moderate
GNB,33.44,moderate
GNQ,38.54,moderate
GRC,33.44,moderate
GRD,43.82,high
GTM,45.21,high
HND,45.68,high
HRV,30.11,moderate
HTI,41.1,high
HUN,30.58,moderate
IDN,34.89,moderate
IND,25.51,low
IRL,28.97,low
IRN,35.88,moderate
IRQ,29.77,low
ISL,26.8,low
ISR,37.89,moderate
ITA,34.34,moderate
JAM,39.87,moderate
JOR,33.66,moderate
JPN,32.34,moderate
KAZ,29.19,low
KEN,37.74,moderate
KGZ,27.19,low
KIR,27.83,low
KOR,32.91,moderate
LAO,38.8,moderate
LBN,35.28,moderate
LBR,35.27,moderate
LCA,43.69,high
LKA,37.66,moderate
LSO,44.88,high
LTU,35.96,moderate
LUX,33.59,moderate
LVA,33.97,moderate
MAR,39.55,moderate
MDA,26.76,low
MDG,36.82,moderate
MDV,29.29,low
MEX,43.45,high
MHL,35.48,moderate
MKD,33.51,moderate
MLI,35.65,moderate
MLT,34.59,moderate
MMR,30.7,moderate
MNE,34.3,moderate
MNG,31.42,moderate
MOZ,49.56,high
MRT,32,moderate
MUS,36.76,moderate
MWI,38.54,moderate
MYS,40.67,high
NAM,59.07,high
NER,32.86,moderate
NGA,33.89,moderate
NIC,46.16,high
NLD,25.74,low
NOR,26.53,low
NPL,30.02,moderate
NRU,32.36,moderate
PAK,29.59,low
PAN,49.73,high
PER,40.13,high
PHL,35.2,moderate
PNG,41.85,high
POL,28.47,low
PRT,33.85,moderate
PRY,44.25,high
PSE,36.38,moderate
QAT,35.13,moderate
ROU,29.83,low
RUS,33.01,moderate
RWA,39.36,moderate
SDN,34.24,moderate
SEN,36.16,moderate
SLB,37.05,moderate
SLE,35.69,moderate
SLV,39.8,moderate
SRB,32.8,moderate
SSD,44.05,high
STP,40.73,high
SUR,39.18,moderate
SVK,23.82,low
SVN,24.68,low
SWE,29.28,low
SWZ,54.58,high
SYC,32.13,moderate
SYR,26.63,low
TCD,37.36,moderate
TGO,37.86,moderate
THA,33.49,moderate
TJK,36.11,moderate
TLS,28.65,low
TON,27.1,low
TUN,33.72,moderate
TUR,44.47,high
TUV,39.14,moderate
TWN,31.57,moderate
TZA,40.49,high
UGA,42.7,high
UKR,25.63,low
URY,39.98,moderate
USA,41.82,high
UZB,34.56,moderate
VEN,44.7,high
VNM,36.09,moderate
VUT,32.32,moderate
WSM,38.74,moderate
XKX,38.31,moderate
YEM,36.71,moderate
ZAF,63.03,high
ZMB,51.48,high
ZWE,50.26,high
